epoch,step,test_loss,train_loss,val_loss
0,225,,,0.9374871253967285
0,225,,1.7341527938842773,
1,451,,,1.8947274684906006
1,451,,0.6667462587356567,
2,677,,,8.095812797546387
2,677,,0.5618445873260498,
3,903,,,5.9108967781066895
3,903,,0.5272473096847534,
4,1129,,,0.5101782083511353
4,1129,,0.5102851986885071,
5,1355,,,1.9801201820373535
5,1355,,0.4944562613964081,
6,1581,,,4.25308084487915
6,1581,,0.4835831820964813,
7,1807,,,2.573923110961914
7,1807,,0.48123055696487427,
8,2033,,,0.533073902130127
8,2033,,0.4704425632953644,
9,2259,,,2.974768877029419
9,2259,,0.46725228428840637,
10,2485,,,0.8873894810676575
10,2485,,0.4646551012992859,
11,2711,,,0.6295089721679688
11,2711,,0.4633095860481262,
12,2937,,,2.0204265117645264
12,2937,,0.44648483395576477,
13,3163,,,2.40655255317688
13,3163,,0.45086535811424255,
14,3389,,,0.4766165614128113
14,3389,,0.4487079679965973,
15,3390,0.45677289366722107,,
