epoch,step,test_loss,val_loss
0,225,,7.2659173011779785
1,451,,0.5972732305526733
2,677,,0.6304523944854736
3,903,,0.5113742351531982
4,1129,,1.0771962404251099
5,1355,,0.4762185513973236
6,1581,,0.9053527116775513
7,1807,,0.5046257376670837
8,2033,,0.9918423295021057
9,2259,,1.302714228630066
10,2485,,0.9075749516487122
11,2711,,0.4998304545879364
12,2937,,0.5760498642921448
13,3163,,0.6995359063148499
14,3389,,1.7373826503753662
15,3390,0.4837060272693634,
